	osa_location	osbp_location	A_pS_mean	A_pS_std	A_pS_min	A_pS_max	Bp_pS_mean	Bp_pS_std	Bp_pS_min	Bp_pS_max	C_pS_mean	C_pS_std	C_pS_min	C_pS_max	A-Bp_pS_mean	A-Bp_pS_std	A-Bp_pS_min	A-Bp_pS_max	A-C_pS_mean	A-C_pS_std	A-C_pS_min	A-C_pS_max	Bp-C_pS_mean	Bp-C_pS_std	Bp-C_pS_min	Bp-C_pS_max	A_pN_mean	A_pN_std	A_pN_min	A_pN_max	Bp_pN_mean	Bp_pN_std	Bp_pN_min	Bp_pN_max	C_pN_mean	C_pN_std	C_pN_min	C_pN_max	A-Bp_pN_mean	A-Bp_pN_std	A-Bp_pN_min	A-Bp_pN_max	A-C_pN_mean	A-C_pN_std	A-C_pN_min	A-C_pN_max	Bp-C_pN_mean	Bp-C_pN_std	Bp-C_pN_min	Bp-C_pN_max
YSG_0010a	2.416881860240964	2.784679774983005	0.0008614574965601341	0.0019318684145608553	0.0	0.010033444816053505	0.07499529316546451	0.05848690641977369	0.0	0.18685897435897422					0.43628507722347554	0.01583026215596436	0.40596192476840876	0.4631708314604921									0.00023201861352729143	0.0006068478150875618	0.0	0.0034822983168891447	0.01560534886820256	0.01173679848120884	0.0	0.038787351319988374					0.14162398428179762	0.00402938388543449	0.13120061280438622	0.15027736623821564								
YSG_0013a	0.4633871235800344		0.008690227822542427	0.026273631524721185	0.0	0.1356521739130434	0.03736108771345525	0.025041627457042047	0.0	0.14021845851742748					0.3336235492294944	0.020941681425184138	0.2948885096382507	0.4605480375811865									0.005855777236056809	0.02393152142385389	0.0	0.11579089924160348	0.008900409772480255	0.007168807474811078	0.0	0.04223104793756967					0.08052683990163843	0.014646424490456491	0.06546387452027363	0.17682062433353538								
YSG_0013d	0.4855973996557659	0.3614180890550645	0.028987729702827956	0.027626453833146516	0.0	0.1322751322751322	0.030522233076597655	0.022914376270496115	0.0	0.0818804753230982					0.2897852772049742	0.013208674189091512	0.26993608451754236	0.35970987654320974									0.011690953674055322	0.014733318706743168	0.0	0.06074274545181171	0.005825973792448421	0.0039882497310110765	0.0	0.015674292669597835					0.0731896470359483	0.007753117081937741	0.06448846107694724	0.11279600296941332								
YSG_0013ea	0.1463859104991394	1.500558197824609	0.007786240941993224	0.00901755991014913	0.0	0.04255319148936167	0.04950399583582874	0.026497239300147305	0.0	0.12241935483870958					0.3429609902487162	0.010008165758567852	0.32276118985557495	0.37819076923076905									0.0008480448182344356	0.0015758808506076837	0.0	0.00717241379310345	0.015159202770726592	0.008532460742739582	0.0	0.040438356164383585					0.10639514007379995	0.0031002778751678564	0.09843091648150758	0.11441602631061831								
YSG_0013ebb	0.4936738636833047	1.466383994561523	0.00040355125100887713	0.0012604823396982008	0.0	0.008474576271186425	0.01501998378267171	0.01729068705198949	0.0	0.1230687620184336					0.3549257995759024	0.008476986269145255	0.3413167259786472	0.4208173807910014									6.832001093120175e-05	0.00030553637733139055	0.0	0.0014347202295552375	0.004820975120938029	0.011366204700473208	0.0	0.08515623883753162					0.05609223469486486	0.00682628385875105	0.052645186953062854	0.11627321072306464								
YSG_0014a	1.7788412020654043	1.248911791978246	0.011161279100951296	0.03738410727239884	0.0	0.18788737324206414	0.09341278697379844	0.04589557910254713	0.0	0.2043013698630135					0.3072037753637225	0.015894983046425747	0.280052781070382	0.3583632756942883	0.2830021972328749	0.023564490295089828	0.14581415842553583	0.288382453735435	0.34438662056003827	0.009237398839314176	0.3201294277929153	0.3666555541505245	0.002973000334285172	0.009886846378944622	0.0	0.04960599103914388	0.03148503783886903	0.01462560529367265	0.0	0.06335690646915142					0.10061256084157727	0.003920811423701547	0.09193848324213409	0.11925704291869035	0.06837440723486682	0.007025802412111731	0.02688019880578474	0.07095704514736473	0.12307387406505149	0.0029084215690346107	0.1178384206417073	0.12742835207104314
YSG_0014g	2.909546165920826	1.7159592365737593	0.00931217733375074	0.017945438566821	0.0	0.08753254163546226	0.036680705150851936	0.02020844251147536	0.0	0.12029028730490095					0.28769775129240793	0.008125480213083609	0.26850243224461406	0.3244422175719882									0.0011738733115099075	0.004105534060354928	0.0	0.020856801501962813	0.005726424575122412	0.003405311123198617	0.0	0.01793800642522725					0.06058349855869401	0.0024230300249311115	0.05446100805382245	0.06809929684843302								
YSG_0014hb	1.060035903614458	2.485396600951733	6.130749490836631e-05	0.000284271179407866	0.0	0.0013821700069108476	0.012460654092831643	0.007575106767173885	0.0	0.04134815844336337					0.3146479165273627	0.004441429513431859	0.3046649888755148	0.32439865554276337	0.24774611643862407	0.00010187433015578396	0.2473165946004866	0.248253509123074	0.3476614522866675	0.005067918511637936	0.3384639577999464	0.3603103909006811	0.00016028723440904066	0.0004261803264551112	0.0	0.002703311556656908	0.0024833682654257206	0.0019491486223497366	0.0	0.012705194513154945					0.08527872012683631	0.0011214743877481228	0.08192361738575246	0.08898395450743717	0.06917010272255972	0.0003552361570318067	0.06907547705923894	0.07064719067387154	0.08400942940147378	0.0009350325512839749	0.08131322332275424	0.08677133194066997
YSG_0014hc	2.337126777969019	2.102231291638341	0.0035284104752695373	0.012436069826446532	0.0	0.06508398933862264	0.057185888248029094	0.035182887159358155	0.0	0.13317033414832913					0.29316028196044913	0.011391540787441886	0.2556085086597696	0.3139069264069262	0.23636754422934153	0.00898625122390068	0.1772052245482195	0.24249452104197272	0.3440222837932652	0.015458501679651954	0.3120516613891185	0.3611650086749409	0.0008768674487933739	0.0019186243653033482	0.0	0.01045821146858105	0.01127350842078964	0.007662756547070265	0.0	0.02894218852518774					0.06253260853384948	0.003154717968673835	0.05864697588835516	0.07263802793120913	0.0379528198218708	0.0010403800789844466	0.0324059306515447	0.039926691229536244	0.07314024439524974	0.002178108723106962	0.06980392156862748	0.07631118379526027
YSG_0014i	2.733883073321859	1.9375737668252888	0.006484018104840327	0.008627354662384583	0.0	0.04037403740374029	0.04050743014006135	0.01802460236726073	0.0	0.09681525544050308					0.2654079416437187	0.004649297463783583	0.25309201846965657	0.2835658397085076	0.17099728639455594	0.005590744844797482	0.15610045212265347	0.17684716599190245	0.2698341825525706	0.009201827481986358	0.2531044678055187	0.2925682175632546	0.0017012186033841966	0.0024918517466133226	0.0	0.01218762014609767	0.008443256002222729	0.003916977053293092	0.0	0.020405338606030676					0.06763861473135249	0.0017396452446811943	0.06419131883018697	0.0749009066709643	0.0371421628160071	0.001505327007027076	0.032665108842700824	0.03916436474512828	0.07792369266009545	0.0018600009036668192	0.07543785186061613	0.08283304937627985
YSG_0016a	2.375489982099828	0.8874937029231815	0.006431023131023443	0.013248352504579331	0.0	0.05696018599244401	0.024495804671752636	0.012518713777135182	0.0	0.06586942469295405					0.3234977468468135	0.01130795596573573	0.30049770304178686	0.36547069808315463	0.20960665414318186	0.008832028408424829	0.2053464047523596	0.25015096618357463	0.4081225164774977	0.009040806094602047	0.395001322401481	0.42900496458194576	0.003008604498121863	0.008276424617973854	0.0	0.034144838212634795	0.0062361195424497145	0.004213160926228035	0.0	0.01764880071068995					0.07017507287178265	0.0037598745473997395	0.06672582076308782	0.09425510177350478	0.04207742372344978	0.005085696509527245	0.04069190860718361	0.06661298980139557	0.0847502266913233	0.001389147544927701	0.080357671018718	0.0885145142180094
YSG_0016b	0.0050477900172117	0.0051779095853161	0.003230545276193862	0.005092278936769196	0.0	0.02814814814814811	0.05672287913631426	0.02523144392127958	0.0	0.12957017360384848					0.23059112591172523	0.007920518580545004	0.19985152190051947	0.250729137551799									0.0005306717743116209	0.0012124583113309025	0.0	0.006426735218509002	0.010725872573211724	0.00478035069212558	0.0	0.025600350432565193					0.05688874799144524	0.0021544949444155183	0.05200956058098914	0.06319706077575325								
YSG_0016c			0.0026672782180323616	0.0037564583013094833	0.0	0.014814814814814831	0.02781492597952234	0.019300818013961378	0.0	0.13278157610651323					0.37169199600574804	0.009746852740183403	0.35425438596491243	0.39747191011235966									0.0006011412319366067	0.0011268049068570887	0.0	0.005010438413361167	0.006438832811758554	0.006471038307843508	0.0	0.04488778054862843					0.0744254072990627	0.003955849440534205	0.0679225101022106	0.1004521276595745								
YSG_0016gb	0.944946291222031	0.9237390700203942	0.0008188244204915188	0.0013184210209056981	0.0	0.0064568200161420446	0.03844994193341719	0.016434373840359076	0.0	0.07833333333333327					0.2264831888168586	0.012107795625170873	0.2019186205232715	0.2508337764029193	0.4377854236141299	0.0006375215453058961	0.4364995462582678	0.43933333333333324	0.4636575623909074	0.005339056784671386	0.45018052342200277	0.4776249391634005	0.000776218143184393	0.0008259136591361346	0.0	0.00318640467339352	0.01001167314061624	0.00550852448074771	0.0	0.022625624835569586					0.05595757140007249	0.0029087653615413075	0.04632933885511204	0.06210997742848095	0.11761027225907118	0.0007319069074085969	0.11619305367613886	0.11910558110179416	0.10330225926271265	0.0020668863436451566	0.09831686384700174	0.10777745229327083
YSG_0019eb	1.2256034161790017	2.6438406342624066	0.0005512095355771448	0.0012936516102063287	0.0	0.006833712984054673	0.06395088229055688	0.03192751953778483	0.0	0.17097133414756802					0.32577343770040046	0.012085058759382178	0.3003367003367003	0.3849517759271122	0.26861111188456743	0.001327001602022589	0.26625336487478585	0.27420888290453505	0.37049648625595183	0.011547416785093774	0.3473761920898486	0.42418845059109095	0.0010084942396679304	0.0011308829901250162	0.0	0.0041393583994480815	0.01369202907089497	0.008838555878362608	0.0	0.039835641292457064					0.07946725355829339	0.0029200700771434504	0.07413652091852775	0.08728159702163159	0.09174293153809265	0.0008587518035703288	0.09130700493863857	0.09405852643333917	0.12216279943134516	0.005553715076328819	0.10694783315905648	0.12952160483678257
YSG_0019f	0.2029211586919105	1.286192740992522	0.11304245168795514	0.08081942314273945	0.0	0.24814662092804937	0.07981585506198956	0.0464852900364034	0.0	0.24725748798225064					0.1845083154478193	0.0671419109431898	0.0	0.27905138339920943	0.27458179018692	0.03353564219125881	0.2371008939974458	0.3427738927738929	0.32645384883891976	0.01842148699810486	0.2553023108578665	0.3628427647119237	0.03358620729252205	0.022008359311412505	0.0	0.07996226881919953	0.020768433456452802	0.0126618191436039	0.0	0.06641039058621472					0.05447390749934805	0.018588507545440544	0.0	0.08360460500198486	0.08120337511013312	0.009215489575786204	0.07140600315955761	0.10087739032620911	0.09713460214525171	0.004696687726996514	0.08715052568480455	0.10655304531642214
YSG_0023aa	0.8389427008605852	1.9002928178110128	0.0006506559187896804	0.0019528590173192248	0.0	0.01351351351351352	0.06841864968545017	0.05193580484355334	0.0	0.1537200917731892					0.3087763353333458	0.035300402845813754	0.2679425837320575	0.37323148566929687	0.30071556678934735	0.001498102497805396	0.29406410031738633	0.3033333333333335	0.39563451099456515	0.014659322374912678	0.3803102771645821	0.42677565797034844	0.001020969696653027	0.0015170999815644487	0.0	0.00719199499687304	0.00949775367931685	0.006880519309630187	0.0	0.022233850805279353					0.06960393164092485	0.0024431325484401754	0.06467092166412873	0.07911983686631568	0.06952580072664254	0.0007983746827222759	0.0671125755898134	0.07250470809792837	0.07559807229496004	0.002369781452486171	0.07118118376841553	0.08020811509183591
YSG_0023ba	0.8419713748709122	1.9033995635622023	0.002067868886379001	0.003678007735243817	0.0	0.018711018711018716	0.05186290565125725	0.024814708547767246	0.0	0.1153809883062995					0.317720318950619	0.00772467746340258	0.29180118311008363	0.33734011064519537	0.30244688944341985	0.0024325326998477694	0.2947498169392238	0.31023222060957917	0.4013655549936066	0.008540764268820812	0.38917013354794466	0.42326405489776975	0.0013929457018457005	0.0033678899461660043	0.0	0.015276893698281334	0.010423786810792996	0.00612131902927215	0.0	0.02576674095298736					0.10078682282889356	0.0026609192633873166	0.09310751943980773	0.11157473232162016	0.09549457570018455	0.001111080237467157	0.09505135387488324	0.1005927313600599	0.11930216711859098	0.003065395963017242	0.1122863399257252	0.12373909581833277
YSG_0023bb	0.526989277796902	0.5964951842284161	0.03825660953127295	0.034033680809769824	0.0	0.09848484848484841	0.046651684023927276	0.023871021479234967	0.0	0.11859927320779644					0.24903272439517146	0.02946560329477615	0.17188118811881173	0.3004309758199881									0.01124052246592359	0.00916630545914637	0.0	0.029711288390169732	0.012154218482798879	0.005943102718776821	0.0	0.03107451089864373					0.0673629984060479	0.006752988230329049	0.0479634476741516	0.07994139385568694								
YSG_0025b	0.2150358547332186	0.9796604935418084	0.0030216893745835353	0.003781415702322259	0.0	0.01276052743513401	0.03661986743297238	0.01333338661368424	0.0	0.06727867919157421					0.3229717466491472	0.006056767026305013	0.3008645024493166	0.33929237498238	0.33101686458334684	0.0018686098241058287	0.3237832720434336	0.3340282105595586	0.03788926037835789	0.015865877458439363	0.0	0.06707766439909302	0.0010834999436101177	0.0008311343273522813	0.0	0.003290375651220183	0.010398508129487281	0.003433182455321191	0.0	0.020109991058300466					0.08984119583615635	0.0012079425420118653	0.08650233823155343	0.09415591389662933	0.08945411865522247	0.00040587491070668565	0.08863290954061886	0.09052482093568763	0.011025691470768945	0.004486423260502792	0.0	0.018460695468914674
YSG_0025ca	1.5779391593803789	1.103930323589395	0.017716292588458773	0.06395089549810443	0.0	0.31583178566515385	0.03516164356337048	0.02258547976866438	0.0	0.13414510795565085					0.3013832268783634	0.04293610830740029	0.005773195876288667	0.3294559301569614									0.00510759649738616	0.01643412256712141	0.0	0.0817322487182613	0.007516296480073707	0.00437597831606681	0.0	0.028931343161531512					0.07577351281952933	0.010721042557983548	0.001824579695034536	0.08189557447568184								
YSG_0025cb	1.7576404839931157	0.6451675343303874	0.0007301885982025741	0.001225326805608405	0.0	0.0054263565891473015	0.023628815352125458	0.00876205364739116	0.0	0.048669736505500244					0.31436691284451385	0.004059447451413659	0.3050815961335519	0.32575740002752657	0.29546208102943766	0.0008341412256604865	0.2932813668561705	0.29759459459459514	0.3784021155300683	0.003999147405895466	0.36706598791137485	0.38381189611655764	0.0004912927114768768	0.0004710323110131341	0.0	0.0015030060120240466	0.004057508821755399	0.001823496105700421	0.0	0.010296333500753384					0.08732068339873371	0.0009816489797719683	0.08396713159649617	0.09032821860921421	0.07894806528438394	0.00036453402534486094	0.07863966900702102	0.07957410437758952	0.09794521864607968	0.001134488435790578	0.09497035605286129	0.09989295019180756
YSG_0027b	0.8227897728055078	1.9448228402447316	0.0005708080882485784	0.0011723484576109434	0.0	0.007481296758104729	0.02274838634253479	0.011475044523187594	0.0	0.0612625410636597					0.28225182941597854	0.004797683681250399	0.2673263753554773	0.29631468441358577	0.32396214887947883	0.0009659230253246373	0.32279479784513226	0.32793599404936075	0.3819773181026971	0.005156751640683531	0.37497153731499194	0.39736509771185097	0.0006587882770492415	0.0008820123683778692	0.0	0.0033333333333333405	0.0046474840876888175	0.002462835786948241	0.0	0.013657407407407434					0.06954655802654275	0.001417031239099504	0.0672361111111112	0.07428140096618367	0.06928470720394221	0.0006844783210040145	0.06889144199346414	0.07109988639057135	0.09553165050497973	0.0011702168577884097	0.09280574594181616	0.0998291200298186
YSG_0027ca	0.5946296640275388	0.0735263161114887	0.07667002016499586	0.057391706800286636	0.0	0.18770418770418754	0.05687262667966023	0.02234663062840351	0.0	0.12237404141583179					0.3469846189512018	0.023459529069129455	0.2859908003742278	0.40512732361256065	0.26863697738539993	0.05232990006654578	0.14470624269718993	0.3124212464863815	0.38172818404443115	0.00664500345049042	0.36607594961968276	0.3935678385917656	0.016601444517215243	0.010922893629225132	0.0	0.03854267587586341	0.011378270307574287	0.004836901465241704	0.0	0.02568623361035182					0.09464831968048654	0.006140843052472299	0.08405621089957686	0.10582858320093433	0.04927206208898821	0.010873220867267866	0.024751568884854983	0.06054275896320761	0.09963189208567522	0.0011510615746854632	0.09756446991404018	0.10258752504481713
YSG_0027cb	1.2276225321858865	1.3069043793337864	0.04191079298169245	0.05656838862979623	0.0	0.24508858182592308	0.05227845146722997	0.04178343607499711	0.0	0.1579416951965971					0.2890713602415181	0.01341302146026009	0.2400760637033515	0.3217787753050061	0.22032185402384474	0.04569569756148597	0.014380530973451312	0.2502114359257214	0.2807165117865411	0.011578859550409762	0.26477470710358547	0.30621929909374085	0.007107624104002894	0.01156720667359725	0.0	0.048297667245035716	0.00582467097352364	0.004178984249464558	0.0	0.01668525748280351					0.05966991528151522	0.0022140825537725743	0.05204335520970933	0.06684612983770297	0.04373241331424532	0.008539631696445685	0.005263157894736849	0.04871680131009569	0.06532000184015152	0.0016275731908638226	0.061343413830507454	0.06881429342210953
YSG_0029a		1.4073558252889191	0.014912317793272263	0.0149937042154276	0.0	0.08546042003231008	0.045404950946668986	0.02351610419259293	0.0	0.13447177265196877					0.04515555096716404	0.0173255941275533	0.0016129032258064499	0.11165779115535993									0.007567227097678351	0.014557749136558239	0.0	0.06971664698937426	0.017065462231797272	0.010745687485647441	0.0	0.0677264463195189					0.019465842314604558	0.013868097441077925	0.0	0.08363958260682958								
YSG_0029fb	0.9015352970740104	0.624455895989123	0.053608259483806195	0.0784096842782179	0.0	0.32933460178976076	0.10046106976969121	0.08151253431312722	0.0	0.36072084481175365					0.30068490126051256	0.08018821355875755	0.0	0.3631945386319451									0.010565435354799133	0.013789246139642166	0.0	0.06532797858099063	0.018575195644394228	0.015157844126084802	0.0	0.07163902265025864					0.05503920263169104	0.013881610850881652	0.0	0.07110242772893377								
YSG_0029g	1.341702586574871	2.6407338885112166	0.0013001637506150738	0.001674237515038876	0.0	0.007751937984496117	0.05090287234445419	0.018656969632474752	0.0	0.09364339387792721					0.37531779087379946	0.005761649521844569	0.3582160656698911	0.388420327654145	0.347149851854851	0.0015292037330365824	0.34256243322649554	0.35084087171052614	0.42975840498143564	0.007493777074638666	0.4161480433757658	0.44718666531113915	0.00040216465602115016	0.000548412319238341	0.0	0.0027100271002710036	0.014131829942700954	0.006533158575249044	0.0	0.032475584737675235					0.14795217655895657	0.003244935753753954	0.13848742005762882	0.1543572431864591	0.14660518880710344	0.00030473170331233375	0.1464617059891107	0.1480719679146781	0.1692222056905373	0.002401636351666187	0.1637267306067886	0.17633702547265864
YSG_0030ba	0.3018578430292599	2.9193054242012235	0.0035759360469510945	0.0037198567482264414	0.0	0.01143583227445998	0.024089176786520443	0.027183472009933877	0.0	0.1349964614295825					0.16682348564746866	0.011309568343912814	0.15142576204523112	0.20213675213675222									0.0021517667643670066	0.003148597918260108	0.0	0.010676156583629894	0.009353041520021557	0.008885455977957687	0.0	0.04887535937764248					0.05886812224274839	0.005097102766345883	0.05106548225814282	0.08373035985808415								
YSG_0031a	2.079689487091222	0.7766864377974168	0.056997421917079696	0.07416903471620742	0.0	0.34474252661752625	0.06797483277441639	0.04430079997095437	0.0	0.2256500945071309					0.34721506552898346	0.024227380726120445	0.24789228639738242	0.41850932091497917	0.27964416886924764	0.04679530227701649	0.039205390741226864	0.3283613221184161	0.40418501601853557	0.014998033103863608	0.36508703650444896	0.4298604710160242	0.014157272401989513	0.017867340095516073	0.0	0.08314824420033483	0.01605561150206485	0.011417065328056355	0.0	0.058786916208791326					0.08536328460794756	0.007387358924630048	0.053554412044978156	0.1037901011967228	0.06658272370609149	0.012101618143892098	0.008749044720267761	0.08286378992584009	0.098712299798698	0.002175993130501307	0.09234087104545104	0.10309799167840666
YSG_0031ba	1.4507348509466438	1.6486464119646498	0.21724031137686814	0.18363745652258953	0.0	0.5648876093455864	0.16186607183720073	0.22415295737824878	0.0	0.5667317140503856					0.4420879461237965	0.15209242423733063	0.02924494859978728	0.5704419686848792	0.4615738642981986	0.12981826566003105	0.04721255186227282	0.5507465645604976	0.2480837430448318	0.11892671618536603	0.1629222563439468	0.5541253618176686	0.05562874499286304	0.05156923312445821	0.0	0.15330402344790853	0.03819797638834511	0.05910149100684158	0.0	0.14539992826398884					0.11891051134418341	0.045604836428222606	0.004475724061881758	0.15443939874941165	0.12545223205796863	0.0406021289606184	0.006752212996637628	0.1514231477235996	0.0436868960168126	0.04091518199846422	0.0215994786332744	0.1445923553277816
YSG_0031bbb	0.4431959635111876	0.8160385506458192	0.026776052588768626	0.02930894042571269	0.0	0.13322698806569755	0.10782173426920814	0.03539671408017864	0.0	0.21131759732252905					0.3405391717570545	0.011604962683883462	0.3006824447490921	0.3765713194993588									0.006627621603069899	0.006436830088119067	0.0	0.02842651879054453	0.024438358533077034	0.00842026396967788	0.0	0.051334410519278					0.12327563406439151	0.0036432122046574167	0.1134771605826443	0.1353935622987538								
