	1	2	3	4	n	L	fraction_polymorphic
YSG_0019f	78.0	34.0	1.0	0.0	34	113.0	0.30973451327433627
YSG_0023aa	107.0	2.0	0.0	0.0	45	109.0	0.01834862385321101
YSG_0023ba	121.0	5.0	0.0	0.0	30	126.0	0.03968253968253968
YSG_0023bb	114.0	16.0	1.0	0.0	38	131.0	0.1297709923664122
YSG_0025b	298.0	8.0	0.0	0.0	34	306.0	0.026143790849673203
YSG_0025ca	212.0	99.0	1.0	0.0	45	312.0	0.32051282051282054
YSG_0025cb	319.0	5.0	0.0	0.0	40	324.0	0.015432098765432098
YSG_0027b	206.0	2.0	0.0	0.0	43	208.0	0.009615384615384616
YSG_0027ca	181.0	56.0	3.0	0.0	32	240.0	0.24583333333333332
YSG_0027cb	175.0	63.0	0.0	0.0	32	238.0	0.2647058823529412
YSG_0029a	155.0	15.0	1.0	0.0	30	171.0	0.0935672514619883
YSG_0029fb	100.0	58.0	2.0	0.0	37	160.0	0.375
YSG_0029g	206.0	3.0	0.0	0.0	31	209.0	0.014354066985645933
YSG_0030ba	112.0	1.0	0.0	0.0	31	113.0	0.008849557522123894
YSG_0031a	140.0	75.0	6.0	0.0	29	221.0	0.3665158371040724
YSG_0031ba	60.0	94.0	47.0	4.0	25	205.0	0.7073170731707317
YSG_0031bbb	163.0	39.0	2.0	0.0	36	204.0	0.20098039215686275
YSG_0032ab	67.0	12.0	0.0	0.0	31	79.0	0.1518987341772152
YSG_0032b	45.0	26.0	0.0	0.0	50	71.0	0.36619718309859156
YSG_0033b	91.0	41.0	2.0	0.0	37	134.0	0.3208955223880597
YSG_0033f	100.0	13.0	0.0	0.0	30	113.0	0.11504424778761062
YSG_0034a	182.0	7.0	0.0	0.0	41	189.0	0.037037037037037035
YSG_0035a	47.0	6.0	0.0	0.0	26	53.0	0.11320754716981132
YSG_0036a	85.0	1.0	0.0	0.0	34	86.0	0.011627906976744186
YSG_0036b	76.0	4.0	0.0	0.0	42	80.0	0.05
YSG_0036c	46.0	26.0	0.0	0.0	38	72.0	0.3611111111111111
YSG_0037a	50.0	2.0	0.0	0.0	53	52.0	0.038461538461538464
YSG_0037c	60.0	31.0	3.0	0.0	35	94.0	0.3617021276595745
YSG_0038a	108.0	56.0	1.0	0.0	42	165.0	0.34545454545454546
YSG_0038b	118.0	70.0	0.0	0.0	37	188.0	0.3723404255319149
YSG_0038c	327.0	46.0	0.0	0.0	15	373.0	0.12332439678284182
YSG_0040d	161.0	29.0	0.0	0.0	30	190.0	0.15263157894736842
YSG_0041a	195.0	2.0	0.0	0.0	44	197.0	0.01015228426395939
YSG_0041bb	165.0	5.0	0.0	0.0	42	170.0	0.029411764705882353
YSG_0044b	108.0	17.0	1.0	0.0	43	126.0	0.14285714285714285
YSG_0044c	143.0	0.0	0.0	0.0	43	143.0	0.0
YSG_0046a	293.0	1.0	0.0	0.0	32	294.0	0.003401360544217687
YSG_0046b	206.0	26.0	0.0	0.0	32	232.0	0.11206896551724138
YSG_0046c	287.0	40.0	0.0	0.0	24	327.0	0.12232415902140673
YSG_0048a	118.0	2.0	0.0	0.0	48	120.0	0.016666666666666666
YSG_0048b	115.0	3.0	0.0	0.0	32	118.0	0.025423728813559324
YSG_0048c	95.0	26.0	0.0	0.0	39	121.0	0.21487603305785125
YSG_0050b	160.0	2.0	0.0	0.0	44	162.0	0.012345679012345678
YSG_0050c	139.0	20.0	0.0	0.0	38	159.0	0.12578616352201258
YSG_0053a	173.0	3.0	0.0	0.0	35	176.0	0.017045454545454544
YSG_0053c	163.0	5.0	0.0	0.0	41	168.0	0.02976190476190476
YSG_0054a	62.0	2.0	0.0	0.0	26	64.0	0.03125
YSG_0054c	74.0	32.0	4.0	0.0	31	110.0	0.32727272727272727
YSG_0055b	94.0	6.0	0.0	0.0	25	100.0	0.06
YSG_0055c	100.0	3.0	0.0	0.0	45	103.0	0.02912621359223301
YSG_0057a	234.0	97.0	4.0	0.0	36	335.0	0.30149253731343284
YSG_0057b	303.0	2.0	0.0	0.0	27	305.0	0.006557377049180328
YSG_0057c	299.0	34.0	0.0	0.0	37	333.0	0.1021021021021021
YSG_0058aa	94.0	4.0	0.0	0.0	51	98.0	0.04081632653061224
YSG_0058b	113.0	1.0	0.0	0.0	49	114.0	0.008771929824561403
YSG_0060ab	209.0	4.0	0.0	0.0	34	213.0	0.018779342723004695
YSG_0060b	191.0	13.0	0.0	0.0	48	204.0	0.06372549019607843
YSG_0062aa	155.0	2.0	0.0	0.0	29	157.0	0.012738853503184714
YSG_0062ab	146.0	30.0	1.0	0.0	32	177.0	0.1751412429378531
YSG_0062b	219.0	8.0	0.0	0.0	37	227.0	0.03524229074889868
YSG_0063c	70.0	3.0	0.0	0.0	41	73.0	0.0410958904109589
YSG_0064a	64.0	2.0	0.0	0.0	47	66.0	0.030303030303030304
YSG_0064b	61.0	2.0	0.0	0.0	33	63.0	0.031746031746031744
YSG_0066b	200.0	3.0	0.0	0.0	37	203.0	0.014778325123152709
YSG_0066c	365.0	32.0	1.0	0.0	35	398.0	0.0829145728643216
YSG_0067a	22.0	1.0	0.0	0.0	37	23.0	0.043478260869565216
YSG_0067c	97.0	1.0	0.0	0.0	37	98.0	0.01020408163265306
YSG_0068a	169.0	59.0	1.0	0.0	35	229.0	0.26200873362445415
YSG_0068b	237.0	2.0	0.0	0.0	22	239.0	0.008368200836820083
YSG_0068c	225.0	2.0	0.0	0.0	21	227.0	0.00881057268722467
YSG_0069c	266.0	5.0	0.0	0.0	40	271.0	0.01845018450184502
YSG_0070c	205.0	36.0	0.0	0.0	45	241.0	0.14937759336099585
YSG_0070f	215.0	28.0	0.0	0.0	35	243.0	0.11522633744855967
YSG_0071a	274.0	5.0	0.0	0.0	39	279.0	0.017921146953405017
YSG_0071bb	291.0	8.0	0.0	0.0	43	299.0	0.026755852842809364
YSG_0078f	158.0	0.0	0.0	0.0	34	158.0	0.0
YSG_0079a	230.0	4.0	0.0	0.0	41	234.0	0.017094017094017096
YSG_0079b	183.0	31.0	0.0	0.0	47	214.0	0.14485981308411214
YSG_0083c	154.0	3.0	0.0	0.0	39	157.0	0.01910828025477707
YSG_0084ba	154.0	4.0	0.0	0.0	41	158.0	0.02531645569620253
YSG_0084bb	97.0	62.0	4.0	0.0	46	163.0	0.4049079754601227
YSG_0085b	199.0	36.0	1.0	0.0	34	236.0	0.15677966101694915
YSG_0085c	217.0	20.0	0.0	0.0	23	237.0	0.08438818565400844
YSG_0088a	149.0	97.0	6.0	0.0	45	252.0	0.4087301587301587
YSG_0089a	89.0	49.0	0.0	0.0	35	138.0	0.35507246376811596
YSG_0090a	114.0	59.0	1.0	0.0	34	174.0	0.3448275862068966
YSG_0090b	183.0	6.0	0.0	0.0	39	189.0	0.031746031746031744
YSG_0091c	55.0	4.0	0.0	0.0	41	59.0	0.06779661016949153
YSG_0093a	70.0	1.0	0.0	0.0	49	71.0	0.014084507042253521
YSG_0094a	387.0	23.0	0.0	0.0	33	410.0	0.05609756097560976
YSG_0095a	188.0	0.0	0.0	0.0	32	188.0	0.0
YSG_0095b	171.0	15.0	0.0	0.0	46	186.0	0.08064516129032258
YSG_0096a	215.0	30.0	0.0	0.0	25	245.0	0.12244897959183673
YSG_0096b	232.0	21.0	1.0	0.0	24	254.0	0.08661417322834646
YSG_0097a	267.0	3.0	0.0	0.0	30	270.0	0.011111111111111112
YSG_0097b	374.0	8.0	0.0	0.0	36	382.0	0.020942408376963352
YSG_0098b	103.0	0.0	0.0	0.0	22	103.0	0.0
YSG_0099b	154.0	1.0	0.0	0.0	31	155.0	0.0064516129032258064
YSG_0100b	231.0	2.0	0.0	0.0	32	233.0	0.008583690987124463
YSG_0101b	135.0	5.0	0.0	0.0	43	140.0	0.03571428571428571
YSG_0101c	170.0	2.0	0.0	0.0	35	172.0	0.011627906976744186
YSG_0102a	439.0	66.0	11.0	1.0	36	517.0	0.15087040618955513
YSG_0102b	372.0	111.0	2.0	0.0	31	485.0	0.2329896907216495
YSG_0103b	162.0	1.0	1.0	0.0	51	164.0	0.012195121951219513
YSG_0104a	416.0	54.0	3.0	0.0	30	473.0	0.12050739957716702
YSG_0104b	256.0	151.0	22.0	0.0	36	429.0	0.40326340326340326
YSG_0105a	95.0	6.0	0.0	0.0	37	101.0	0.0594059405940594
YSG_0105b	98.0	1.0	0.0	0.0	31	99.0	0.010101010101010102
YSG_0106a	123.0	14.0	0.0	0.0	37	137.0	0.10218978102189781
YSG_0106b	133.0	3.0	0.0	0.0	38	136.0	0.022058823529411766
YSG_0107a	170.0	29.0	1.0	0.0	47	200.0	0.15
YSG_0107b	132.0	49.0	1.0	0.0	41	182.0	0.27472527472527475
YSG_0108a	318.0	83.0	4.0	0.0	33	405.0	0.21481481481481482
YSG_0108b	270.0	100.0	5.0	1.0	35	376.0	0.28191489361702127
YSG_0109a	131.0	18.0	0.0	0.0	34	149.0	0.12080536912751678
YSG_0109b	107.0	23.0	0.0	0.0	38	130.0	0.17692307692307693
YSG_0110a	85.0	7.0	0.0	0.0	33	92.0	0.07608695652173914
YSG_0110b	88.0	1.0	0.0	0.0	53	89.0	0.011235955056179775
YSG_0111a	283.0	51.0	0.0	0.0	20	334.0	0.15269461077844312
YSG_0115a	297.0	46.0	4.0	0.0	36	347.0	0.1440922190201729
YSG_0115b	311.0	20.0	0.0	0.0	40	331.0	0.06042296072507553
YSG_0116a	55.0	1.0	0.0	0.0	36	56.0	0.017857142857142856
YSG_0116b	26.0	13.0	0.0	0.0	33	39.0	0.3333333333333333
YSG_0118a	111.0	17.0	1.0	0.0	47	129.0	0.13953488372093023
YSG_0118b	121.0	10.0	0.0	0.0	41	131.0	0.07633587786259542
YSG_0119c	63.0	61.0	8.0	0.0	50	132.0	0.5227272727272727
YSG_0120a	187.0	3.0	0.0	0.0	33	190.0	0.015789473684210527
YSG_0120b	161.0	12.0	0.0	0.0	37	173.0	0.06936416184971098
YSG_0121a	271.0	10.0	0.0	0.0	24	281.0	0.03558718861209965
YSG_0121b	235.0	43.0	0.0	0.0	18	278.0	0.15467625899280577
YSG_0123b	197.0	6.0	0.0	0.0	48	203.0	0.029556650246305417
YSG_0125a	87.0	8.0	0.0	0.0	43	95.0	0.08421052631578947
YSG_0125b	235.0	120.0	8.0	0.0	31	363.0	0.3526170798898072
YSG_0126c	207.0	21.0	0.0	0.0	38	228.0	0.09210526315789473
YSG_0127b	289.0	97.0	2.0	0.0	42	388.0	0.2551546391752577
YSG_0128a	63.0	30.0	3.0	0.0	37	96.0	0.34375
YSG_0128b	64.0	21.0	1.0	0.0	39	86.0	0.2558139534883721
YSG_0129a	269.0	4.0	0.0	0.0	31	273.0	0.014652014652014652
YSG_0129b	188.0	83.0	2.0	0.0	30	273.0	0.31135531135531136
YSG_0130b	99.0	54.0	1.0	0.0	44	154.0	0.35714285714285715
YSG_0132a	44.0	30.0	0.0	0.0	41	74.0	0.40540540540540543
YSG_0132b	183.0	97.0	1.0	0.0	35	281.0	0.3487544483985765
YSG_0133b	105.0	67.0	0.0	0.0	46	172.0	0.38953488372093026
YSG_0134a	159.0	6.0	0.0	0.0	38	165.0	0.03636363636363636
YSG_0134b	182.0	9.0	0.0	0.0	29	191.0	0.04712041884816754
YSG_0135a	37.0	16.0	0.0	0.0	36	53.0	0.3018867924528302
YSG_0135b	50.0	1.0	0.0	0.0	35	51.0	0.0196078431372549
YSG_0136b	194.0	13.0	1.0	0.0	50	208.0	0.0673076923076923
YSG_0137a	75.0	1.0	0.0	0.0	31	76.0	0.013157894736842105
YSG_0137b	146.0	3.0	0.0	0.0	35	149.0	0.020134228187919462
YSG_0138a	211.0	25.0	0.0	0.0	31	236.0	0.1059322033898305
YSG_0138b	129.0	99.0	9.0	0.0	17	237.0	0.45569620253164556
YSG_0139a	231.0	4.0	0.0	0.0	39	235.0	0.01702127659574468
YSG_0141a	146.0	101.0	11.0	2.0	37	260.0	0.43846153846153846
YSG_0141b	365.0	8.0	0.0	0.0	36	373.0	0.021447721179624665
YSG_0142a	208.0	2.0	0.0	0.0	24	210.0	0.009523809523809525
YSG_0142b	198.0	3.0	0.0	0.0	38	201.0	0.014925373134328358
YSG_0143a	312.0	52.0	3.0	0.0	30	367.0	0.14986376021798364
YSG_0143b	378.0	0.0	0.0	0.0	29	378.0	0.0
YSG_0144b	146.0	19.0	0.0	0.0	33	165.0	0.11515151515151516
YSG_0145a	90.0	4.0	0.0	0.0	34	94.0	0.0425531914893617
YSG_0145b	69.0	5.0	0.0	0.0	24	74.0	0.06756756756756757
YSG_0147a	228.0	24.0	0.0	0.0	32	252.0	0.09523809523809523
YSG_0147b	244.0	3.0	0.0	0.0	41	247.0	0.012145748987854251
YSG_0148b	69.0	26.0	0.0	0.0	36	95.0	0.2736842105263158
YSG_0149b	137.0	101.0	18.0	1.0	37	257.0	0.4669260700389105
YSG_0150b	249.0	5.0	0.0	0.0	44	254.0	0.01968503937007874
YSG_0151a	314.0	6.0	0.0	0.0	38	320.0	0.01875
YSG_0151b	310.0	3.0	0.0	0.0	32	313.0	0.009584664536741214
YSG_0152a	96.0	1.0	0.0	0.0	37	97.0	0.010309278350515464
YSG_0152b	98.0	2.0	0.0	0.0	47	100.0	0.02
YSG_0154a	224.0	5.0	0.0	0.0	42	229.0	0.021834061135371178
YSG_0154b	169.0	34.0	0.0	0.0	38	203.0	0.16748768472906403
YSG_0155b	110.0	2.0	0.0	0.0	47	112.0	0.017857142857142856
YSG_0156a	151.0	2.0	0.0	0.0	34	153.0	0.013071895424836602
YSG_0156b	109.0	21.0	1.0	0.0	29	131.0	0.16793893129770993
YSG_0157a	65.0	1.0	0.0	0.0	21	66.0	0.015151515151515152
YSG_0157b	63.0	4.0	0.0	0.0	45	67.0	0.05970149253731343
YSG_0158a	139.0	4.0	0.0	0.0	44	143.0	0.027972027972027972
YSG_0158b	112.0	40.0	2.0	0.0	44	154.0	0.2727272727272727
YSG_0159a	85.0	66.0	6.0	0.0	38	157.0	0.4585987261146497
YSG_0159b	142.0	4.0	0.0	0.0	31	146.0	0.0273972602739726
YSG_0160a	82.0	1.0	0.0	0.0	39	83.0	0.012048192771084338
YSG_0160b	49.0	24.0	2.0	0.0	27	75.0	0.3466666666666667
YSG_0161ba	158.0	11.0	0.0	0.0	34	169.0	0.0650887573964497
YSG_0161bb	182.0	1.0	0.0	0.0	32	183.0	0.00546448087431694
YSG_0164a	79.0	2.0	0.0	0.0	28	81.0	0.024691358024691357
YSG_0164b	79.0	0.0	0.0	0.0	40	79.0	0.0
YSG_0166a	114.0	0.0	0.0	0.0	35	114.0	0.0
YSG_0166b	178.0	35.0	0.0	0.0	28	213.0	0.1643192488262911
YSG_0167a	170.0	2.0	0.0	0.0	27	172.0	0.011627906976744186
YSG_0167b	175.0	19.0	1.0	0.0	34	195.0	0.10256410256410256
YSG_0168b	79.0	0.0	0.0	0.0	40	79.0	0.0
YSG_0169b	250.0	59.0	1.0	0.0	32	310.0	0.1935483870967742
YSG_0170b	60.0	0.0	0.0	0.0	36	60.0	0.0
YSG_0170c	211.0	30.0	4.0	0.0	27	245.0	0.13877551020408163
YSG_0171a	157.0	4.0	0.0	0.0	34	161.0	0.024844720496894408
YSG_0171b	140.0	10.0	0.0	0.0	28	150.0	0.06666666666666667
YSG_0173a	186.0	2.0	0.0	0.0	37	188.0	0.010638297872340425
YSG_0173b	200.0	2.0	0.0	0.0	34	202.0	0.009900990099009901
YSG_0174a	26.0	18.0	7.0	0.0	46	51.0	0.49019607843137253
YSG_0174b	82.0	1.0	0.0	0.0	38	83.0	0.012048192771084338
YSG_0175a	172.0	11.0	0.0	0.0	25	183.0	0.060109289617486336
YSG_0175b	168.0	19.0	0.0	0.0	33	187.0	0.10160427807486631
YSG_0176b	287.0	5.0	0.0	0.0	38	292.0	0.017123287671232876
YSG_0178a	149.0	75.0	2.0	0.0	7	226.0	0.3407079646017699
YSG_0178b	225.0	56.0	0.0	0.0	26	281.0	0.199288256227758
YSG_0179a	94.0	42.0	3.0	0.0	35	139.0	0.3237410071942446
YSG_0179b	105.0	47.0	2.0	0.0	35	154.0	0.3181818181818182
YSG_0180b	56.0	4.0	0.0	0.0	37	60.0	0.06666666666666667
YSG_0183a	162.0	2.0	0.0	0.0	32	164.0	0.012195121951219513
YSG_0183b	174.0	34.0	1.0	0.0	30	209.0	0.1674641148325359
YSG_0184b	96.0	0.0	0.0	0.0	41	96.0	0.0
YSG_0185a	193.0	78.0	4.0	0.0	38	275.0	0.29818181818181816
YSG_0187c	254.0	4.0	0.0	0.0	22	258.0	0.015503875968992248
YSG_0188a	105.0	65.0	5.0	0.0	31	175.0	0.4
YSG_0188b	165.0	29.0	1.0	0.0	31	195.0	0.15384615384615385
YSG_0189b	225.0	28.0	0.0	0.0	36	253.0	0.11067193675889328
YSG_0190bb	32.0	49.0	18.0	1.0	29	100.0	0.68
YSG_0192b	149.0	21.0	1.0	0.0	25	171.0	0.1286549707602339
YSG_0195a	170.0	1.0	0.0	0.0	24	171.0	0.005847953216374269
YSG_0195b	111.0	83.0	6.0	0.0	21	200.0	0.445
YSG_0196b	190.0	14.0	0.0	0.0	35	204.0	0.06862745098039216
YSG_0198b	235.0	64.0	2.0	0.0	33	301.0	0.21926910299003322
YSG_0199a	154.0	1.0	0.0	0.0	26	155.0	0.0064516129032258064
YSG_0199b	126.0	63.0	7.0	0.0	24	196.0	0.35714285714285715
YSG_0200a	350.0	3.0	0.0	0.0	37	353.0	0.0084985835694051
YSG_0201b	174.0	2.0	0.0	0.0	25	176.0	0.011363636363636364
YSG_0203c	190.0	3.0	0.0	0.0	48	193.0	0.015544041450777202
YSG_0204d	154.0	9.0	0.0	0.0	34	163.0	0.05521472392638037
YSG_0207a	125.0	3.0	0.0	0.0	36	128.0	0.0234375
YSG_0211a	224.0	42.0	1.0	0.0	33	267.0	0.16104868913857678
YSG_0211b	248.0	16.0	0.0	0.0	33	264.0	0.06060606060606061
YSG_0212a	91.0	90.0	18.0	0.0	33	199.0	0.542713567839196
YSG_0214b	175.0	1.0	0.0	0.0	23	176.0	0.005681818181818182
YSG_0214cb	156.0	5.0	0.0	0.0	31	161.0	0.031055900621118012
YSG_0215c	154.0	44.0	1.0	0.0	26	199.0	0.22613065326633167
YSG_0217b	110.0	1.0	0.0	0.0	42	111.0	0.009009009009009009
YSG_0221a	53.0	14.0	0.0	0.0	39	67.0	0.208955223880597
YSG_0223a	82.0	3.0	0.0	0.0	29	85.0	0.03529411764705882
YSG_0224b	200.0	11.0	1.0	0.0	32	212.0	0.05660377358490566
YSG_0225b	177.0	3.0	0.0	0.0	38	180.0	0.016666666666666666
YSG_0226b	41.0	6.0	0.0	0.0	37	47.0	0.1276595744680851
YSG_0227a	75.0	0.0	0.0	0.0	34	75.0	0.0
YSG_0230b	240.0	2.0	0.0	0.0	35	242.0	0.008264462809917356
YSG_0234b	37.0	1.0	0.0	0.0	50	38.0	0.02631578947368421
YSG_0235bb	158.0	14.0	0.0	0.0	36	172.0	0.08139534883720931
YSG_0241b	242.0	1.0	0.0	0.0	33	243.0	0.00411522633744856
YSG_0242b	115.0	1.0	0.0	0.0	28	116.0	0.008620689655172414
YSG_0243c	222.0	70.0	12.0	0.0	30	304.0	0.26973684210526316
YSG_0246b	266.0	1.0	0.0	0.0	31	267.0	0.003745318352059925
YSG_0247b	471.0	31.0	0.0	0.0	27	502.0	0.061752988047808766
YSG_0249b	385.0	86.0	2.0	0.0	27	473.0	0.18604651162790697
YSG_0251b	251.0	6.0	0.0	0.0	34	257.0	0.023346303501945526
YSG_0255	59.0	44.0	0.0	0.0	44	103.0	0.42718446601941745
YSG_0258b	67.0	43.0	3.0	0.0	35	113.0	0.40707964601769914
YSG_0264c	31.0	13.0	2.0	0.0	24	46.0	0.32608695652173914
YSG_0266	121.0	66.0	1.0	0.0	39	188.0	0.35638297872340424
YSG_0268	106.0	55.0	0.0	0.0	37	161.0	0.3416149068322981
YSG_0269b	115.0	6.0	0.0	0.0	43	121.0	0.049586776859504134
YSG_0271	55.0	2.0	0.0	0.0	39	57.0	0.03508771929824561
YSG_0272	135.0	1.0	0.0	0.0	41	136.0	0.007352941176470588
YSG_0276	118.0	41.0	0.0	0.0	52	159.0	0.2578616352201258
YSG_0277	419.0	5.0	0.0	0.0	40	424.0	0.01179245283018868
YSG_0278	171.0	1.0	0.0	0.0	38	172.0	0.005813953488372093
YSG_0279	100.0	1.0	0.0	0.0	46	101.0	0.009900990099009901
YSG_0282	103.0	1.0	0.0	0.0	55	104.0	0.009615384615384616
YSG_0285b	38.0	5.0	0.0	0.0	47	43.0	0.11627906976744186
YSG_0286a	53.0	2.0	0.0	0.0	31	55.0	0.03636363636363636
YSG_0287b	196.0	5.0	0.0	0.0	29	201.0	0.024875621890547265
YSG_0289	62.0	47.0	0.0	0.0	57	109.0	0.43119266055045874
YSG_0290	145.0	62.0	3.0	0.0	51	210.0	0.30952380952380953
YSG_0291b	60.0	26.0	3.0	0.0	45	89.0	0.3258426966292135
YSG_0294	191.0	3.0	0.0	0.0	58	194.0	0.015463917525773196
YSG_0296b	382.0	4.0	0.0	0.0	28	386.0	0.010362694300518135
YSG_0297	159.0	22.0	1.0	0.0	37	182.0	0.12637362637362637
YSG_0298c	113.0	2.0	0.0	0.0	36	115.0	0.017391304347826087
YSG_0301	74.0	2.0	0.0	0.0	48	76.0	0.02631578947368421
YSG_0303	30.0	16.0	2.0	0.0	31	48.0	0.375
YSG_0304b	263.0	50.0	0.0	0.0	34	313.0	0.1597444089456869
YSG_0305	146.0	0.0	0.0	0.0	43	146.0	0.0
YSG_0307	154.0	92.0	9.0	0.0	49	255.0	0.396078431372549
YSG_0311	171.0	101.0	1.0	0.0	29	273.0	0.37362637362637363
YSG_0313	110.0	1.0	0.0	0.0	46	111.0	0.009009009009009009
YSG_0314	218.0	31.0	0.0	0.0	47	249.0	0.12449799196787148
YSG_0315	57.0	2.0	0.0	0.0	45	59.0	0.03389830508474576
YSG_0316	81.0	3.0	0.0	0.0	39	84.0	0.03571428571428571
YSG_0317	156.0	47.0	2.0	0.0	47	205.0	0.23902439024390243
YSG_0318	173.0	6.0	0.0	0.0	40	179.0	0.0335195530726257
YSG_0319	277.0	86.0	3.0	0.0	42	366.0	0.24316939890710382
YSG_0320	140.0	22.0	0.0	0.0	45	162.0	0.13580246913580246
YSG_0322	126.0	14.0	0.0	0.0	53	140.0	0.1
YSG_0323b	238.0	3.0	0.0	0.0	30	241.0	0.012448132780082987
YSG_0324c	143.0	18.0	1.0	0.0	43	162.0	0.11728395061728394
YSG_0326	108.0	70.0	2.0	0.0	41	180.0	0.4
YSG_0327	301.0	3.0	0.0	0.0	45	304.0	0.009868421052631578
YSG_0328	246.0	4.0	0.0	0.0	37	250.0	0.016
YSG_0330	33.0	15.0	0.0	0.0	31	48.0	0.3125
YSG_0331	124.0	35.0	0.0	0.0	52	159.0	0.22012578616352202
YSG_0333b	128.0	76.0	2.0	0.0	38	206.0	0.3786407766990291
YSG_0334	44.0	1.0	0.0	0.0	54	45.0	0.022222222222222223
YSG_0335	63.0	1.0	0.0	0.0	44	64.0	0.015625
YSG_0336	179.0	1.0	0.0	0.0	48	180.0	0.005555555555555556
YSG_0337	329.0	8.0	0.0	0.0	39	337.0	0.02373887240356083
YSG_0338	71.0	32.0	2.0	0.0	45	105.0	0.3238095238095238
YSG_0339b	256.0	3.0	0.0	0.0	26	259.0	0.011583011583011582
YSG_0342	173.0	1.0	0.0	0.0	39	174.0	0.005747126436781609
YSG_0343	209.0	22.0	1.0	0.0	28	232.0	0.09913793103448276
YSG_0344	51.0	0.0	0.0	0.0	43	51.0	0.0
YSG_0345	59.0	1.0	0.0	0.0	33	60.0	0.016666666666666666
YSG_0347	30.0	2.0	0.0	0.0	41	32.0	0.0625
YSG_0349	183.0	1.0	0.0	0.0	43	184.0	0.005434782608695652
YSG_0350	113.0	2.0	0.0	0.0	45	115.0	0.017391304347826087
YSG_0351	89.0	1.0	0.0	0.0	43	90.0	0.011111111111111112
YSG_0352	148.0	35.0	0.0	0.0	32	183.0	0.1912568306010929
YSG_0353	64.0	1.0	0.0	0.0	41	65.0	0.015384615384615385
YSG_0354	40.0	0.0	0.0	0.0	39	40.0	0.0
YSG_0355	27.0	10.0	0.0	0.0	40	37.0	0.2702702702702703
YSG_0356	62.0	0.0	0.0	0.0	53	62.0	0.0
YSG_0357	17.0	0.0	0.0	0.0	47	17.0	0.0
YSG_0359	230.0	6.0	0.0	0.0	42	236.0	0.025423728813559324
YSG_0360	175.0	21.0	3.0	0.0	45	199.0	0.12060301507537688
YSG_0362b	76.0	2.0	0.0	0.0	45	78.0	0.02564102564102564
YSG_0363	36.0	0.0	0.0	0.0	48	36.0	0.0
YSG_0364	176.0	4.0	0.0	0.0	43	180.0	0.022222222222222223
YSG_0366	124.0	10.0	0.0	0.0	12	134.0	0.07462686567164178
YSG_0367	153.0	5.0	0.0	0.0	43	158.0	0.03164556962025317
YSG_0368	196.0	49.0	0.0	0.0	36	245.0	0.2
YSG_0369	167.0	15.0	0.0	0.0	43	182.0	0.08241758241758242
YSG_0370b	271.0	3.0	0.0	0.0	43	274.0	0.010948905109489052
YSG_0371	45.0	38.0	6.0	0.0	31	89.0	0.4943820224719101
YSG_0372	68.0	0.0	0.0	0.0	50	68.0	0.0
YSG_0373	534.0	6.0	0.0	0.0	41	540.0	0.011111111111111112
YSG_0374	62.0	41.0	3.0	0.0	53	106.0	0.41509433962264153
YSG_0375	69.0	1.0	0.0	0.0	41	70.0	0.014285714285714285
YSG_0376	272.0	86.0	1.0	0.0	37	359.0	0.24233983286908078
YSG_0377	45.0	32.0	0.0	0.0	52	77.0	0.4155844155844156
YSG_0379	87.0	10.0	0.0	0.0	41	97.0	0.10309278350515463
